x;n = 10;n = 25;n = 50;n = 100
0,51321;5,88E-05;5,16E-10;1,73E-16;1,73E-16
0,51164;6,11E-05;5,62E-10;1,64E-16;1,64E-16
0,51007;6,35E-05;6,13E-10;1,92E-16;1,92E-16
0,5085;6,59E-05;6,68E-10;1,69E-16;1,69E-16
0,50693;6,85E-05;7,28E-10;1,65E-16;1,65E-16
0,50536;7,11E-05;7,93E-10;1,83E-16;1,83E-16
0,50379;7,38E-05;8,64E-10;1,68E-16;1,68E-16
0,50222;7,67E-05;9,41E-10;1,88E-16;1,88E-16
0,50065;7,96E-05;1,02E-09;1,76E-16;1,76E-16
0,49908;8,26E-05;1,11E-09;1,84E-16;1,84E-16
0,49751;8,57E-05;1,21E-09;1,78E-16;1,78E-16
0,49594;8,90E-05;1,32E-09;1,86E-16;1,86E-16
0,49437;9,23E-05;1,44E-09;1,84E-16;1,84E-16
0,4928;9,58E-05;1,56E-09;1,70E-16;1,70E-16
0,49123;9,94E-05;1,70E-09;1,68E-16;1,68E-16
0,48966;1,03E-04;1,84E-09;1,72E-16;1,72E-16
0,48809;1,07E-04;2,00E-09;1,64E-16;1,64E-16
0,48652;1,11E-04;2,18E-09;1,80E-16;1,80E-16
0,48495;1,15E-04;2,36E-09;1,88E-16;1,88E-16
0,48338;1,19E-04;2,57E-09;1,80E-16;1,80E-16
0,48181;1,24E-04;2,78E-09;1,88E-16;1,88E-16
0,48024;1,28E-04;3,02E-09;2,13E-16;1,90E-16
0,47867;1,33E-04;3,28E-09;2,27E-16;1,77E-16
0,4771;1,38E-04;3,56E-09;2,25E-16;1,80E-16
0,47553;1,43E-04;3,86E-09;2,15E-16;1,72E-16
0,47396;1,48E-04;4,18E-09;2,40E-16;1,74E-16
0,47239;1,53E-04;4,53E-09;3,06E-16;1,84E-16
0,47082;1,59E-04;4,91E-09;3,20E-16;1,93E-16
0,46925;1,65E-04;5,32E-09;3,62E-16;1,91E-16
0,46768;1,71E-04;5,77E-09;4,36E-16;1,93E-16
0,46611;1,77E-04;6,25E-09;4,91E-16;1,84E-16
0,46454;1,83E-04;6,76E-09;5,61E-16;1,91E-16
0,46297;1,90E-04;7,32E-09;6,48E-16;1,96E-16
0,4614;1,96E-04;7,93E-09;7,70E-16;1,89E-16
0,45983;2,03E-04;8,58E-09;8,82E-16;1,82E-16
0,45826;2,11E-04;9,28E-09;1,03E-15;2,00E-16
0,45669;2,18E-04;1,00E-08;1,20E-15;1,80E-16
0,45512;2,26E-04;1,09E-08;1,38E-15;1,83E-16
0,45355;2,34E-04;1,17E-08;1,62E-15;1,83E-16
0,45198;2,42E-04;1,27E-08;1,88E-15;2,07E-16
0,45041;2,50E-04;1,37E-08;2,19E-15;1,92E-16
0,44884;2,59E-04;1,48E-08;2,53E-15;1,78E-16
0,44727;2,68E-04;1,60E-08;2,94E-15;1,84E-16
0,4457;2,78E-04;1,73E-08;3,40E-15;1,98E-16
0,44413;2,87E-04;1,87E-08;3,95E-15;1,95E-16
0,44256;2,97E-04;2,02E-08;4,58E-15;1,78E-16
0,44099;3,07E-04;2,18E-08;5,31E-15;1,79E-16
0,43942;3,18E-04;2,35E-08;6,15E-15;2,22E-16
0,43785;3,29E-04;2,54E-08;7,11E-15;1,94E-16
0,43628;3,40E-04;2,74E-08;8,23E-15;1,91E-16
0,43471;3,52E-04;2,95E-08;9,52E-15;1,85E-16
0,43314;3,64E-04;3,18E-08;1,10E-14;2,32E-16
0,43157;3,76E-04;3,43E-08;1,27E-14;1,91E-16
